month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,301,Art Supplies & Stationery,420500000.0,185400000.0
2024-02-01,301,Art Supplies & Stationery,390200000.0,165800000.0
2024-03-01,301,Art Supplies & Stationery,415600000.0,172300000.0
2024-04-01,301,Art Supplies & Stationery,385900000.0,158400000.0
2024-05-01,301,Art Supplies & Stationery,370400000.0,148200000.0
2024-06-01,301,Art Supplies & Stationery,350800000.0,135100000.0
2024-07-01,301,Art Supplies & Stationery,395200000.0,178900000.0
2024-08-01,301,Art Supplies & Stationery,580400000.0,310200000.0
2024-09-01,301,Art Supplies & Stationery,610900000.0,345600000.0
2024-10-01,301,Art Supplies & Stationery,450300000.0,210500000.0
2024-11-01,301,Art Supplies & Stationery,890600000.0,480200000.0
2024-12-01,301,Art Supplies & Stationery,1250400000.0,720900000.0
2025-01-01,301,Art Supplies & Stationery,455800000.0,210400000.0
2025-02-01,301,Art Supplies & Stationery,420100000.0,188200000.0
2025-03-01,301,Art Supplies & Stationery,445300000.0,205600000.0
2025-04-01,301,Art Supplies & Stationery,410900000.0,182400000.0
2025-05-01,301,Art Supplies & Stationery,395200000.0,172900000.0
2025-06-01,301,Art Supplies & Stationery,378400000.0,165100000.0
2025-07-01,301,Art Supplies & Stationery,415600000.0,198400000.0
2025-08-01,301,Art Supplies & Stationery,620900000.0,358200000.0
2025-09-01,301,Art Supplies & Stationery,650400000.0,390100000.0
2025-10-01,301,Art Supplies & Stationery,490200000.0,245600000.0
2025-11-01,301,Art Supplies & Stationery,950700000.0,540300000.0
2025-12-01,301,Art Supplies & Stationery,1350800000.0,810500000.0
2026-01-01,301,Art Supplies & Stationery,495200000.0,235400000.0
2026-02-01,301,Art Supplies & Stationery,465400000.0,215600000.0
2026-03-01,301,Art Supplies & Stationery,485900000.0,238200000.0
2026-04-01,301,Art Supplies & Stationery,450700000.0,212100000.0
2026-05-01,301,Art Supplies & Stationery,435200000.0,198400000.0
2024-01-01,305,Premium Pet Food,850400000.0,145200000.0
2024-02-01,305,Premium Pet Food,860200000.0,148500000.0
2024-03-01,305,Premium Pet Food,875600000.0,152400000.0
2024-04-01,305,Premium Pet Food,880900000.0,158200000.0
2024-05-01,305,Premium Pet Food,895400000.0,162100000.0
